2017 International Subject Based Fees Fees, EFTSL values and Census Dates
Subject Code Version Subject Name Study Period Availability Location EFTSL Census Date Subject Cost ($AUD)
ABPL10003 1 Visualising Environments Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL10003 1 Visualising Environments Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL10004 2 Global Foundations of Design Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL10004 2 Global Foundations of Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL10005 2 Understanding the Built Environment Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL10006 1 History of Landscape Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20004 1 Principles of Property Valuation Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,908.00
ABPL20027 2 Architecture Design Studio: Earth Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20028 2 Architecture Design Studio: Water Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20030 1 Foundations of Architecture Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20031 2 Principles of Property Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20033 1 Construction Analysis Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20034 1 Urban History Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20035 1 Cities: From Local to Global Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20036 1 Environmental Building Systems Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20036 1 Environmental Building Systems Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20037 1 Urban Design Studies Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20038 1 Explorations (Landscape Studio 1) Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20039 1 History of Designed Landscapes Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20040 1 Landscape Studio 2: Site Plan & Design Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20042 2 Construction of Residential Buildings Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20045 1 City Futures Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20047 1 Site Tectonics Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20048 1 Visual Communications Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20049 1 Introduction to Urban Design & Planning Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20050 1 Design Workshop Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20051 1 Construction Industry Studies ‐ Property Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL20052 1 Investment and Finance for Property Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20053 2 Construction of Concrete Buildings Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL20054 1 Hacking Cities ‐ Upgrading Urban Life Winter Term Winter Term Parkville 0.125 7‐Jul‐17 $4,708.00
ABPL30006 1 Property Resource Analysis Semester 1 Semester 1 Parkville 0.125 31‐Mar‐17 $4,708.00
ABPL30012 1 Property Management Semester 2 Semester 2 Parkville 0.125 31‐Aug‐17 $4,708.00
ABPL30037 3 Architecture Design Studio: Fire Semester 1 Semester 1 Parkville 0.25 31‐Mar‐17 $9,416.00
